koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
CONFIRMED,0,0,0,0,11.37936986,133.84992,0.911,2.6255,1023.5,3.95,806,99.68,37.9,2,5714,4.428,1.015,295.81616,51.121738,15.367
CONFIRMED,0,0,0,0,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785,89.61,88.4,1,5854,4.406,1.012,300.86398,44.337551,12.882
CONFIRMED,0,0,0,0,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997,233.31,47.1,2,5779,4.339,1.087,287.88733,46.276241,12.791
FALSE POSITIVE,0,1,0,0,7.442652004,169.9717797,0.137,2.3078,24446,15.03,967,206.78,835.6,1,6108,4.469,0.956,288.98682,49.733742,15.27
CONFIRMED,0,0,0,0,16.38489988,172.72782,0.001,3.0249,1127.1,2,433,8.35,28.9,2,4126,4.661,0.615,286.73804,49.97575,15.095
CONFIRMED,0,0,0,0,36.4454001,151.60125,0.028,4.007,1122.3,1.99,332,2.88,21.7,3,4126,4.661,0.615,286.73804,49.97575,15.095
CONFIRMED,0,0,0,0,3.728732147,171.793255,0.558,2.683,5226.5,6.02,1023,258.34,345.2,1,5497,4.577,0.809,290.78574,50.054119,15.523
CANDIDATE,0,0,0,0,40.4195037,173.56469,0.911,3.362,6256,7.51,467,11.29,36.9,1,5446,4.507,0.781,294.31686,50.080231,15.487
CONFIRMED,0,0,0,0,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822,107.6,38.9,1,4149,4.698,0.564,285.17621,50.149818,15.135
CONFIRMED,0,0,0,0,2.337437946,171.761982,0.28,1.9982,971.2,2.34,1070,311.16,82.4,1,5005,4.595,0.765,293.83331,50.23035,15.334
CANDIDATE,0,0,0,0,7.2406612,137.75545,1.198,0.558,556.4,19.45,734,68.63,13.7,2,5005,4.595,0.765,293.83331,50.23035,15.334
CANDIDATE,0,0,0,0,3.43591631,132.6624,0.624,3.133,23.2,0.55,1272,617.61,8.7,3,5779,4.339,1.087,287.88733,46.276241,12.791
CONFIRMED,0,0,0,0,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396,5.82,71,1,3688,4.79,0.473,296.22195,50.28722,15.937
CONFIRMED,0,0,0,0,7.275040844,169.994217,0.547,7.5377,3001,4.86,833,113.64,312.1,1,5485,4.556,0.867,295.45529,50.49456,15.08
CONFIRMED,0,0,0,0,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393,5.66,37.1,1,4077,4.702,0.56,293.97336,50.53191,15.385
CONFIRMED,0,0,0,0,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488,13.43,30.3,2,4077,4.702,0.56,293.97336,50.53191,15.385
CONFIRMED,0,0,0,0,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677,49.68,35.8,1,5557,4.603,0.75,296.02133,50.56778,15.505
CONFIRMED,0,0,0,0,43.84439721,151.93538,0.852,6.802,615.2,2.87,531,18.77,83.7,2,5854,4.406,1.012,300.86398,44.337551,12.882
FALSE POSITIVE,0,1,1,0,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032,268.67,39,1,5295,4.551,0.811,292.31595,38.27029,15.629
CANDIDATE,0,0,0,0,1.626630225,169.820171,1.26,2.1145,1620.6,32.43,1547,1355.88,103.6,1,5735,4.41,0.973,294.36819,38.31028,15.279
CONFIRMED,0,0,0,0,60.4189369,181.16367,0.094,5.039,931.3,2.36,390,5.49,20.1,2,5354,4.587,0.788,296.36652,51.319519,15.339
CONFIRMED,0,0,0,0,12.61190435,180.892284,0.55,5.1497,6105.6,7.4,753,76.15,277.2,1,5795,4.508,0.919,289.11221,51.737381,15.14
FALSE POSITIVE,0,1,0,0,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920,3209.29,112.6,1,6017,4.22,1.339,290.84369,37.728828,15.122
CONFIRMED,0,0,0,0,2.539183147,169.67494,0.238,2.4282,382.1,2.06,1332,743.09,38.9,1,5519,4.35,1.062,291.43997,37.905659,15.026
CONFIRMED,0,0,0,0,6.770300385,170.57662,0.838,2.0844,1304,2.77,812,102.87,50.8,1,5653,4.656,0.679,290.87051,38.273628,15.591
FALSE POSITIVE,0,1,1,1,0.444291966,169.865406,1.258,2.0792,10967,27.51,1836,2706.26,299.7,1,5255,4.678,0.636,290.99689,38.28492,15.748
CANDIDATE,0,0,0,0,10.181584,177.141891,0.92,3.5089,5741.1,7.73,812,102.91,183.6,1,5988,4.541,0.836,291.28195,38.241669,15.657
CONFIRMED,0,0,0,0,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361,4,35.2,2,3950,4.754,0.493,286.07913,39.27832,15.954
CONFIRMED,0,0,0,0,46.1842039,165.23729,0.013,4.758,1394.7,1.83,273,1.32,26,3,3950,4.754,0.493,286.07913,39.27832,15.954
CONFIRMED,0,0,0,0,23.9800854,147.537,0.95,5.351,104,1.31,649,41.94,17.1,4,5854,4.406,1.012,300.86398,44.337551,12.882
CONFIRMED,0,0,0,0,3.895936525,170.527552,0.524,2.3111,8544.8,7.34,1005,241.62,370.8,1,5557,4.592,0.774,294.65524,39.308361,15.725
CONFIRMED,0,0,0,0,22.36646466,175.45862,0.4,5.228,986.8,2.32,536,19.45,32.1,1,5395,4.615,0.734,294.71063,39.52174,15.583
CONFIRMED,0,0,0,0,1.625522174,170.8266564,0.076,2.38963,7969,9.73,1579,1467.41,799.7,1,5539,4.322,1.106,293.87192,38.422939,15.001
FALSE POSITIVE,1,0,1,0,7.544039,171.7982,1.175,6.222,322.6,17.47,838,116.46,14.2,2,5657,4.567,0.824,293.94116,38.601101,15.559
CANDIDATE,0,0,0,0,9.02930689,177.20422,0.024,3.1449,1019.8,2.57,757,77.75,53.9,1,5349,4.526,0.82,290.33362,38.72823,15.387
FALSE POSITIVE,0,1,0,0,10.32803571,174.581054,0.281,7.7915,16918,13.28,843,119.31,636.8,1,5627,4.359,1.024,287.69675,38.886452,15.646
CONFIRMED,0,0,0,0,6.164876,135.63916,0.646,3.262,55.8,0.79,1021,256.35,14.4,3,5854,4.406,1.012,300.86398,44.337551,12.882
CONFIRMED,0,0,0,0,60.32494216,243.892578,0.224,6.6188,20280,12.19,411,6.77,347.2,1,5485,4.556,0.867,285.28363,38.947281,15.403
FALSE POSITIVE,0,0,1,1,1.540397253,170.50479,1.225,2.1541,816.1,25.69,1470,1105.68,38.8,1,5663,4.53,0.915,286.92639,38.921631,15.974
FALSE POSITIVE,0,0,1,1,2.99025443,171.9834,0.014,5.414,589.2,1.7,918,168.45,48.5,1,4667,4.578,0.731,287.74881,38.92955,15.842
CONFIRMED,0,0,0,0,1.594745374,170.6483505,0.514,1.9604,15044,11.3,1539,1329.42,1009.3,1,5934,4.491,0.893,285.21381,39.027481,15.53
CANDIDATE,0,0,0,0,4.783002698,170.508434,0.003,2.335,1008.7,2.5,886,145.48,70.6,1,5170,4.574,0.807,287.09399,39.060719,15.119
CONFIRMED,0,0,0,0,3.340218842,171.979062,0.466,1.9104,1632.6,2.03,656,43.73,71.6,1,3950,4.754,0.493,286.07913,39.27832,15.954
FALSE POSITIVE,0,1,1,0,2.507089906,171.002455,1.255,2.0067,1339.2,30.26,1326,730.47,64.9,1,5926,4.506,0.939,295.37805,40.493401,15.555
CONFIRMED,0,0,0,0,18.64932728,174.771,0.08,4.4056,893.6,3.12,701,57.13,46.1,1,5775,4.405,1.053,290.46176,40.562462,15.386
CONFIRMED,0,0,0,0,9.75192101,138.78608,0.949,4.793,418,2.76,870,135.66,28.5,3,5775,4.405,1.053,290.46176,40.562462,15.386
CONFIRMED,0,0,0,0,38.5576546,163.85063,0.911,5.794,993,4.02,550,21.71,39.7,2,5775,4.405,1.053,290.46176,40.562462,15.386
CONFIRMED,0,0,0,0,3.525632539,170.0479951,0.12,2.59959,22335,11.58,975,213.12,1996.7,1,5150,4.572,0.793,290.58173,40.5774,15.224
CONFIRMED,0,0,0,0,7.748094239,174.997206,0.517,3.5957,2472.1,5.52,964,204.39,113.2,1,5973,4.439,1.085,294.4899,39.771439,15.67
CONFIRMED,0,0,0,0,8.11437482,176.33968,0.573,2.2736,1558,2.1,460,10.55,56.4,1,3692,4.753,0.517,288.81201,40.033401,15.877
FALSE POSITIVE,0,1,0,0,38.03672948,196.934947,0.501,4.34617,82872,27.5,500,14.81,1300,1,5575,4.521,0.932,294.14789,40.055538,15.472
FALSE POSITIVE,0,1,0,0,4.64090031,173.64638,1.28,35.512,2450.6,30.09,1155,421.08,296.9,1,6463,4.5,0.826,295.11371,40.071171,15.27
CONFIRMED,0,0,0,0,14.74914825,138.77799,0.173,6.0995,430.2,2.89,874,137.91,107.4,1,5847,4.191,1.402,297.02826,48.208611,12.487
CONFIRMED,0,0,0,0,21.81295996,174.01085,0.053,4.3791,1175.4,3.38,639,39.33,37.8,1,5601,4.41,0.999,294.77686,40.15374,15.54
CONFIRMED,0,0,0,0,15.37562369,173.61402,0.692,3.3169,15337,11.01,600,30.54,166,1,4986,4.496,0.833,283.25354,40.358189,16.422
CONFIRMED,0,0,0,0,8.10363271,176.9486,0.047,3.161,887.9,2.11,687,52.82,39.3,1,4861,4.574,0.732,283.22141,40.421829,15.289
CONFIRMED,0,0,0,0,4.71510843,134.96178,0.258,2.506,417.5,1.46,823,108.84,21.3,2,4861,4.574,0.732,283.22141,40.421829,15.289
CONFIRMED,0,0,0,0,6.365839713,171.13575,0.524,2.9721,780.7,2.44,914,165.33,70.8,1,5776,4.554,0.849,291.14951,40.420521,15.09
CONFIRMED,0,0,0,0,3.04033046,169.9490106,0.736,1.8411,10859,8.99,1021,257.29,568.2,1,5035,4.519,0.791,299.3161,40.82238,15.028
CONFIRMED,0,0,0,0,31.33046135,153.43031,0.798,5.176,5073.8,6.5,481,12.61,117.2,1,5251,4.581,0.817,292.23676,41.08588,15.855
FALSE POSITIVE,0,1,0,0,9.286358079,171.8214689,0.377,3.49949,44791,17.61,796,95.03,1671.1,1,5670,4.523,0.821,294.74396,40.53392,15.365
CONFIRMED,0,0,0,0,13.23352214,140.32196,0.014,6.7372,504.6,3.06,888,146.67,49.1,2,5739,4.191,1.384,287.89713,40.637821,15.084
CONFIRMED,0,0,0,0,6.15560285,134.81656,0.235,4.9843,285,2.32,1146,406.94,35.1,3,5739,4.191,1.384,287.89713,40.637821,15.084
CONFIRMED,0,0,0,0,2.090811305,134.17462,0.746,3.388,115.9,1.62,1642,1718.04,19.9,5,5739,4.191,1.384,287.89713,40.637821,15.084
CONFIRMED,0,0,0,0,3.180027898,133.49863,0.196,3.5797,120.3,1.53,1458,1066.86,50.4,2,5847,4.191,1.402,297.02826,48.208611,12.487
CONFIRMED,0,0,0,0,56.2279271,132.29259,0.7,3.57,862.7,2.37,366,4.22,20.9,2,4959,4.603,0.756,294.20215,40.66341,15.208
FALSE POSITIVE,0,1,1,1,2.384052875,171.58362,1.178,3.0918,1268.1,17.06,1010,244.87,50.5,1,4794,4.58,0.701,299.64285,40.691238,15.836
CONFIRMED,0,0,0,0,7.953547,174.66224,0.3,2.6312,875.4,2.25,696,55.37,38.4,1,4768,4.536,0.779,291.15878,40.750271,15.66
CONFIRMED,0,0,0,0,4.14451656,135.92831,0.004,2.3421,391.8,1.48,864,132.08,22.8,2,4768,4.536,0.779,291.15878,40.750271,15.66
FALSE POSITIVE,0,1,0,0,4.859386384,173.011469,1.259,2.2757,6044.3,38.33,1114,364.23,269.7,1,6072,4.47,0.988,292.21436,40.759762,15.311
CONFIRMED,0,0,0,0,4.583520948,169.973972,0.045,2.7055,3812.1,5.39,1038,274.98,99.5,1,5815,4.54,0.877,299.18686,41.74268,15.287
CONFIRMED,0,0,0,0,8.20396958,169.69138,0.823,2.9667,1024.4,3.01,742,71.5,54.4,1,5015,4.499,0.826,286.5657,41.808399,15.376
CONFIRMED,0,0,0,0,14.49645186,143.41659,0.97,4.016,647.5,3.01,613,33.48,25.7,2,5015,4.499,0.826,286.5657,41.808399,15.376
CANDIDATE,0,0,0,0,6.54626149,133.85964,0.644,2.75,655.9,2.19,810,101.78,24.8,3,5251,4.581,0.817,292.23676,41.08588,15.855
CONFIRMED,0,0,0,0,12.71809866,175.35526,0.427,3.0957,1149.4,2.31,562,23.6,52.7,1,4702,4.592,0.686,292.91312,41.060921,15.389
CONFIRMED,0,0,0,0,36.06588163,198.58423,0.26,4.3246,1563.8,2.64,397,5.88,51.7,2,4702,4.592,0.686,292.91312,41.060921,15.389
CONFIRMED,0,0,0,0,4.190425659,171.44122,0.458,2.8589,2877.4,6.21,1234,547.9,240.6,1,6073,4.392,1.135,293.49661,41.137589,15.27
CONFIRMED,0,0,0,0,3.709870784,171.987982,0.023,3.0694,2020.3,4.35,1151,415.1,116.1,1,5727,4.463,0.978,283.86441,41.346458,15.581
CONFIRMED,0,0,0,0,16.3297527,177.29506,0.791,6.271,1187.5,3.75,727,66.08,74.6,1,5878,4.444,0.987,288.51001,41.301769,15.447
CONFIRMED,0,0,0,0,27.80756622,186.713552,0.782,4.21587,25391,13.84,554,22.24,748.1,1,5862,4.584,0.785,296.88821,41.396091,15.482
CONFIRMED,0,0,0,0,80.8723469,203.895,0.527,11.195,3604.6,7.59,452,9.88,160.9,1,5510,4.222,1.238,287.1543,41.565788,15.201
CONFIRMED,0,0,0,0,24.99324319,138.68167,0.686,5.9409,269.6,2.29,712,60.88,62,1,5718,4.181,1.317,287.36279,38.649601,12.377
CONFIRMED,0,0,0,0,10.35533116,170.93729,0.029,3.1775,750.6,2.47,777,86.22,49.2,1,5501,4.462,0.918,288.9942,41.633282,15.018
CONFIRMED,0,0,0,0,16.08518937,180.28319,0.867,3.984,1442.4,3.68,613,33.43,62.6,1,5239,4.523,0.826,292.10519,42.380322,15.219
CANDIDATE,0,0,0,0,235.9986399,208.399822,0.778,8.2284,20715,10.59,188,0.29,271.8,1,4245,4.627,0.657,293.00797,42.307201,15.172
CONFIRMED,0,0,0,0,36.2761238,201.2869,0.035,4.7865,1572.6,3.03,445,9.29,45.5,2,5103,4.562,0.787,291.63898,42.436321,15.599
CONFIRMED,0,0,0,0,17.46087931,137.26594,0.594,2.2641,812.4,2.32,568,24.6,22.6,4,5103,4.562,0.787,291.63898,42.436321,15.599
CONFIRMED,0,0,0,0,56.0560754,201.16578,0.018,4.685,1626,1.94,233,0.69,27.4,1,3593,4.757,0.491,289.50848,41.812119,15.849
CONFIRMED,0,0,0,0,41.40831669,195.78745,0.377,5.0264,22839,11.38,453,9.93,907.8,1,5522,4.586,0.747,291.76041,41.944069,15.196
CANDIDATE,0,0,0,0,39.74893077,172.854644,0.881,7.3051,15179,14.21,552,21.87,561.1,1,6122,4.487,0.964,293.17929,41.969238,15.344
CONFIRMED,0,0,0,0,49.18394185,141.911924,0.035,11.3364,1646.2,8.2,669,47.4,355.7,1,5626,3.907,2.057,294.55917,46.062328,12.654
FALSE POSITIVE,0,1,0,0,13.61014819,173.987319,1.081,2.594,5732.9,19.02,733,68.29,184.1,1,5697,4.46,0.903,289.89777,42.009151,15.06
FALSE POSITIVE,0,1,1,1,10.44331991,175.4046,0.23,2.743,1159.8,2.66,667,46.94,51.7,1,4947,4.516,0.802,286.24356,42.148811,15.546
CONFIRMED,0,0,0,0,2.237489571,170.81914,0.128,1.8119,315.8,1.41,1160,427.17,30.7,1,5265,4.58,0.81,290.00757,42.116459,15.001
FALSE POSITIVE,0,1,0,0,5.851520671,173.8228336,0.211,3.11058,33004,14.62,901,155.89,1630.4,1,5532,4.53,0.806,284.08731,42.233231,15.33
CONFIRMED,0,0,0,0,3.167893418,172.147959,0.026,2.1814,781.2,2.62,1221,526.23,64.8,1,5895,4.503,0.94,293.81647,42.212502,15.533
CONFIRMED,0,0,0,0,4.311780262,173.576483,0.196,2.7251,1154,3.11,1038,274.84,86.1,1,5527,4.484,0.927,287.24268,42.301369,15.604
CONFIRMED,0,0,0,0,20.0504494,188.08821,0.383,4.556,840.9,2.69,622,35.44,37.8,2,5527,4.484,0.927,287.24268,42.301369,15.604
CONFIRMED,0,0,0,0,9.76734503,186.57718,0.9,1.6585,569.1,2.67,791,92.46,21.1,3,5527,4.484,0.927,287.24268,42.301369,15.604
CANDIDATE,0,0,0,0,119.0207044,222.236492,0.076,8.1405,7430.5,8.98,366,4.25,223.5,1,5453,4.342,1.062,291.58377,42.36816,15.085
FALSE POSITIVE,0,1,1,0,2.861159894,171.648106,0.965,1.8832,1014.3,4.37,1355,797.1,58.3,1,6126,4.458,1.021,291.67172,42.343109,15.618
CONFIRMED,0,0,0,0,26.44439337,194.12074,0.03,3.9783,1843.5,3.91,562,23.54,88,2,5427,4.463,0.929,292.87338,42.966141,15.158
CONFIRMED,0,0,0,0,51.53997972,174.055011,0.183,6.3994,3644.3,5.51,450,9.67,155.5,1,5427,4.463,0.929,292.87338,42.966141,15.158
CONFIRMED,0,0,0,0,5.902245782,136.78393,0.209,2.9003,702.3,2.43,926,173.74,59.3,3,5427,4.463,0.929,292.87338,42.966141,15.158
CONFIRMED,0,0,0,0,2.382951591,135.080841,0.479,1.8876,391.6,1.86,1253,583.01,41.4,4,5427,4.463,0.929,292.87338,42.966141,15.158
CONFIRMED,0,0,0,0,21.02250608,207.67593,0.036,4.1072,1772.5,3.07,521,17.48,62.4,1,5067,4.585,0.75,294.90973,42.935261,15.859
CONFIRMED,0,0,0,0,3.219814777,133.00406,0.06,2.0642,488.2,1.69,998,234.93,30.5,3,5103,4.562,0.787,291.63898,42.436321,15.599
FALSE POSITIVE,0,1,0,0,12.94066866,179.423014,0.897,2.4845,42450,22.94,723,64.64,307.5,1,5875,4.572,0.809,291.11969,42.507069,15.215
CONFIRMED,0,0,0,0,33.60123371,186.680343,0.67,4.4056,7425.9,8.46,495,14.22,247.9,1,5149,4.447,0.93,289.26874,42.604172,15.262
CONFIRMED,0,0,0,0,4.601811819,169.98108,0.567,2.2607,755.9,2.35,896,152.91,60.8,1,4986,4.496,0.833,296.48343,42.663429,15.024
CONFIRMED,0,0,0,0,11.18719905,137.17814,0.387,3.252,353.6,1.55,667,46.65,21.9,2,4986,4.496,0.833,296.48343,42.663429,15.024
CONFIRMED,0,0,0,0,5.95489993,170.955871,0.327,2.3892,1410.7,2.33,635,38.52,87.2,1,4261,4.641,0.633,293.63696,42.82497,15.019
CONFIRMED,0,0,0,0,12.03987488,181.22536,0.286,2.7363,1250.6,2.18,502,15.06,57.6,2,4261,4.641,0.633,293.63696,42.82497,15.019
CONFIRMED,0,0,0,0,20.83762895,132.08488,0.706,2.3734,439,1.42,418,7.24,14.9,3,4261,4.641,0.633,293.63696,42.82497,15.019
FALSE POSITIVE,0,1,1,1,8.8111022,136.4568,1.223,5.0683,401.1,63.66,1399,904.92,76.8,1,6200,3.8,2.404,294.46088,38.383461,12.759
CONFIRMED,0,0,0,0,23.58917143,173.81994,0.926,5.073,1200.7,3.16,487,13.34,53.3,1,4919,4.566,0.721,297.46002,42.83992,15.316
CONFIRMED,0,0,0,0,6.481633073,122.977657,0.833,3.784,298.5,2.54,1145,406.25,125.6,1,5945,4.213,1.302,290.39273,40.28487,12.365
CONFIRMED,0,0,0,0,10.37168928,172.61729,0.537,3.035,1254.9,3.2,720,63.68,64.5,1,5121,4.457,0.888,290.39322,43.363899,15.193
CANDIDATE,0,0,0,0,3.96996298,137.75447,0.836,1.1757,299.2,1.78,992,229.37,15,2,5121,4.457,0.888,290.39322,43.363899,15.193
CONFIRMED,0,0,0,0,226.8904775,207.35971,0.731,7.558,3136.4,4.53,236,0.73,46.8,2,5067,4.585,0.75,294.90973,42.935261,15.859
FALSE POSITIVE,0,1,0,0,1.956811408,170.694208,1.091,2.1958,24905,21.58,1109,357.16,125.4,1,5209,4.657,0.603,295.83536,42.943062,15.533
CANDIDATE,0,0,0,0,2.688899233,170.1020904,0.001,2.11275,37492,12.04,929,175.76,1011.6,1,4820,4.667,0.639,296.68307,42.967869,15.766
CONFIRMED,0,0,0,0,9.439459486,177.186096,0.049,2.8979,3036.1,4.16,686,52.32,175.2,1,5097,4.597,0.779,288.64252,43.039291,15.067
CONFIRMED,0,0,0,0,11.52306746,131.969055,0,3.8757,507.3,3.13,927,174.81,142,1,5644,4.162,1.411,284.48245,44.398041,12.346
CONFIRMED,1,0,0,0,20.47748843,178.66786,0.497,2.8364,1382.4,2.92,530,18.65,52.7,2,5097,4.597,0.779,288.64252,43.039291,15.067
CONFIRMED,0,0,0,0,3.336123113,135.31623,0.252,1.9616,516.3,1.74,970,209.79,41.6,3,5097,4.597,0.779,288.64252,43.039291,15.067
CONFIRMED,0,0,0,0,8.01078456,170.20739,0.192,2.312,1333.6,1.72,453,9.9,48.5,1,3713,4.779,0.47,294.77393,43.056301,15.847
